Column1,id,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Versie,jci 1.3,Brontekst,Action,Object,Actor,Recipient,Opmerkingen,Action 2,Object 2,Actor 2,Recipient 2,Action 3,Object 3,Actor 3,Recipient 3,tokens,LENA SRL TAGS,Column2
23,23,Hoofdstuk1,Artikel12,Lid3,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=12&lid=3&z=2018-12-21&g=2018-12-21,"Aan de bewoner wordt zo spoedig mogelijk een schriftelijk verslag van het binnentreden verstrekt .  Indien het binnentreden in het belang van de nationale veiligheid of dat van de strafvordering heeft plaatsgevonden ,  kan volgens bij de wet te stellen regels de verstrekking van het verslag worden uitgesteld .  In de bij de wet te bepalen gevallen kan de verstrekking achterwege worden gelaten ,  indien het belang van de nationale veiligheid zich tegen verstrekking blijvend verzet . ",wordt verstrekt,een schriftelijk verslag van het binnentreden,,de bewoner,,,,,,,,,,"['Aan', 'de', 'bewoner', 'wordt', 'zo', 'spoedig', 'mogelijk', 'een', 'schriftelijk', 'verslag', 'van', 'het', 'binnentreden', 'verstrekt', '.']","['O', 'ACTOR', 'ACTOR', 'V','O','O','O', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'OBJ', 'V', '.']",
26,26,Hoofdstuk1,Artikel14,Lid1,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=14&lid=1&z=2018-12-21&g=2018-12-21,"Onteigening kan alleen geschieden in het algemeen belang en tegen vooraf verzekerde schadeloosstelling ,  een en ander naar bij of krachtens de wet te stellen voorschriften . ",kan geschieden,Onteigening,,,,,,,,,,,,"['Onteigening', 'kan', 'alleen', 'geschieden', 'in', 'het', 'algemeen', 'belang', 'en', 'tegen', 'vooraf', 'verzekerde', 'schadeloosstelling', ',', 'een', 'en', 'ander', 'naar', 'bij', 'of', 'krachtens', 'de', 'wet', 'te', 'stellen', 'voorschriften', '.']","['OBJ', 'V','O', 'V','O','O','O','O','O','O','O','O','O', ',','O','O','O','O','O','O','O','O','O','O','O','O', '.']",
30,30,Hoofdstuk1,Artikel15,Lid2,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=15&lid=2&z=2018-12-21&g=2018-12-21,"Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen ,  kan aan de rechter zijn invrijheidstelling verzoeken .  Hij wordt in dat geval door de rechter gehoord binnen een bij de wet te bepalen termijn .  De rechter gelast de onmiddellijke invrijheidstelling ,  indien hij de vrijheidsontneming onrechtmatig oordeelt . ",kan verzoeken,zijn invrijheidstelling,Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen,de rechter,,wordt gehoord,Hij,de rechter,,gelast,de onmiddellijke invrijheidstelling,De rechter,,"[ 'De', 'rechter', 'gelast', 'de', 'onmiddellijke', 'invrijheidstelling', ',', 'indien', 'hij', 'de', 'vrijheidsontneming', 'onrechtmatig', 'oordeelt', '.']","['ACTOR', 'ACTOR', 'V', 'OBJ', 'OBJ','O', ',','O', 'ACTOR','O','O','O', 'V', '.']",
30,30,Hoofdstuk1,Artikel15,Lid2,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=15&lid=2&z=2018-12-21&g=2018-12-21,"Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen ,  kan aan de rechter zijn invrijheidstelling verzoeken .  Hij wordt in dat geval door de rechter gehoord binnen een bij de wet te bepalen termijn .  De rechter gelast de onmiddellijke invrijheidstelling ,  indien hij de vrijheidsontneming onrechtmatig oordeelt . ",kan verzoeken,zijn invrijheidstelling,Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen,de rechter,,wordt gehoord,Hij,de rechter,,gelast,de onmiddellijke invrijheidstelling,De rechter,,"['Hij', 'aan', 'wie', 'anders', 'dan', 'op', 'rechterlijk', 'bevel', 'zijn', 'vrijheid', 'is', 'ontnomen', ',', 'kan', 'aan', 'de', 'rechter', 'zijn', 'invrijheidstelling', 'verzoeken', '.']","['ACTOR','O','O','O','O','O','O','O','O','O', 'V', 'V', ',', 'V','O', 'REC', 'REC', 'ACTOR', 'V', 'OBJ', '.']",
30,30,Hoofdstuk1,Artikel15,Lid2,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=15&lid=2&z=2018-12-21&g=2018-12-21,"Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen ,  kan aan de rechter zijn invrijheidstelling verzoeken .  Hij wordt in dat geval door de rechter gehoord binnen een bij de wet te bepalen termijn .  De rechter gelast de onmiddellijke invrijheidstelling ,  indien hij de vrijheidsontneming onrechtmatig oordeelt . ",kan verzoeken,zijn invrijheidstelling,Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen,de rechter,,wordt gehoord,Hij,de rechter,,gelast,de onmiddellijke invrijheidstelling,De rechter,,"['Hij', 'wordt', 'in', 'dat', 'geval', 'door', 'de', 'rechter', 'gehoord', 'binnen', 'een', 'bij', 'de', 'wet', 'te', 'bepalen', 'termijn', '.']","['REC','O','O','O','O','O', 'ACTOR', 'ACTOR', 'V','O','O','O','O','O','O','O','O', '.']",
54,54,Hoofdstuk1,Artikel23,Lid8,,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=23&lid=8&z=2018-12-21&g=2018-12-21,De regering doet jaarlijks van de staat van het onderwijs verslag aan de Staten - Generaal . ,doet verslag van,de staat van het onderwijs,De regering,de Staten-Generaal,,,,,,,,,,"['De', 'regering', 'doet', 'jaarlijks', 'van', 'de', 'staat', 'van', 'het', 'onderwijs', 'verslag', 'aan', 'de', 'Staten', '-', 'Generaal', '.']","['ACTOR', 'ACTOR', 'V','O','O','O','O','O', 'ACTOR','O', 'V','O', 'REC', 'REC', '-', 'REC', '.']",
63,63,Hoofdstuk2,Paragraaf1,Artikel29,Lid2,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=29&lid=2&z=2018-12-21&g=2018-12-21,Het voorstel daartoe wordt door of vanwege de Koning ingediend .  De Staten - Generaal beraadslagen en besluiten ter zake in verenigde vergadering .  Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen . ,wordt ingediend,Het voorstel,de Koning,,,kunnen aannemen,Zij,het voorstel,,,,,,"['Het', 'voorstel', 'daartoe', 'wordt', 'door', 'of', 'vanwege', 'de', 'Koning', 'ingediend']","['O','O','O', 'V','O','O','O', 'ACTOR', 'ACTOR', 'V', '.']",
63,63,Hoofdstuk2,Paragraaf1,Artikel29,Lid2,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=29&lid=2&z=2018-12-21&g=2018-12-21,Het voorstel daartoe wordt door of vanwege de Koning ingediend .  De Staten - Generaal beraadslagen en besluiten ter zake in verenigde vergadering .  Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen . ,wordt ingediend,Het voorstel,de Koning,,,kunnen aannemen,Zij,het voorstel,,,,,,"['Zij', 'kunnen', 'het', 'voorstel', 'alleen', 'aannemen', 'met', 'ten', 'minste', 'twee', 'derden', 'van', 'het', 'aantal', 'uitgebrachte', 'stemmen', '.']","['ACTOR', 'V','O', 'OBJ','O', 'V','O','O','O','O','O','O','O','O','O','O', '.']",
64,64,Hoofdstuk2,Paragraaf1,Artikel30,Lid1,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=30&lid=1&z=2018-12-21&g=2018-12-21,"Wanneer vooruitzicht bestaat dat een opvolger zal ontbreken ,  kan deze worden benoemd bij een wet .  Het voorstel wordt door of vanwege de Koning ingediend .  Na de indiening van het voorstel worden de kamers ontbonden .  De nieuwe kamers beraadslagen en besluiten ter zake in verenigde vergadering .  Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen . ",wordt ingediend,Het voorstel,de Koning,,,worden ontbonden,de kamers,,,kunnen aannemen,Zij,het voorstel,,"['Het', 'voorstel', 'wordt', 'door', 'of', 'vanwege', 'de', 'Koning', 'ingediend', '.']","['OBJ', 'OBJ', 'V','O','O','O', 'ACTOR', 'ACTOR', 'V', '.']",
64,64,Hoofdstuk2,Paragraaf1,Artikel30,Lid1,,,21/12/2018,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=30&lid=1&z=2018-12-21&g=2018-12-21,"Wanneer vooruitzicht bestaat dat een opvolger zal ontbreken ,  kan deze worden benoemd bij een wet .  Het voorstel wordt door of vanwege de Koning ingediend .  Na de indiening van het voorstel worden de kamers ontbonden .  De nieuwe kamers beraadslagen en besluiten ter zake in verenigde vergadering .  Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen . ",wordt ingediend,Het voorstel,de Koning,,,worden ontbonden,de kamers,,,kunnen aannemen,Zij,het voorstel,,"['Na', 'de', 'indiening', 'van', 'het', 'voorstel', 'worden', 'de', 'kamers', 'ontbonden', '.']","['O','O','O','O','O','O','O', 'V', 'OBJ', 'OBJ', 'V', '.']",
